method,quantile,similarity
char_tfidf_3_5,0.0,0.0959118951692719
char_tfidf_3_5,0.01,0.1301705479889028
char_tfidf_3_5,0.05,0.15121068651770053
char_tfidf_3_5,0.1,0.16407989251275842
char_tfidf_3_5,0.25,0.18549775084255768
char_tfidf_3_5,0.5,0.21122193019244673
char_tfidf_3_5,0.75,0.24291626911595685
char_tfidf_3_5,0.9,0.2824514659630654
char_tfidf_3_5,0.95,0.3104922718466363
char_tfidf_3_5,0.99,0.3841549522124205
char_tfidf_3_5,1.0,0.9334130970989475
word_tfidf_1_2,0.0,0.08147196875642271
word_tfidf_1_2,0.01,0.11986131920209643
word_tfidf_1_2,0.05,0.13127350666274853
word_tfidf_1_2,0.1,0.14047724373190468
word_tfidf_1_2,0.25,0.156723575081122
word_tfidf_1_2,0.5,0.18034893917788797
word_tfidf_1_2,0.75,0.21209240194220683
word_tfidf_1_2,0.9,0.25305689241974805
word_tfidf_1_2,0.95,0.2952606182458933
word_tfidf_1_2,0.99,0.40964604411490646
word_tfidf_1_2,1.0,1.0
