method,threshold,test_rows,test_pct,nearest_train_TRUE_count,nearest_train_FALSE_count,nearest_train_TRUE_rate
char_tfidf_3_5,0.5,9,0.004285714285714286,1,8,0.1111111111111111
char_tfidf_3_5,0.6,8,0.0038095238095238095,1,7,0.125
char_tfidf_3_5,0.7,5,0.002380952380952381,1,4,0.2
char_tfidf_3_5,0.75,5,0.002380952380952381,1,4,0.2
char_tfidf_3_5,0.8,5,0.002380952380952381,1,4,0.2
char_tfidf_3_5,0.85,2,0.0009523809523809524,0,2,0.0
char_tfidf_3_5,0.9,1,0.0004761904761904762,0,1,0.0
char_tfidf_3_5,0.95,0,0.0,0,0,
char_tfidf_3_5,0.98,0,0.0,0,0,
char_tfidf_3_5,0.99,0,0.0,0,0,
word_tfidf_1_2,0.5,16,0.007619047619047619,4,12,0.25
word_tfidf_1_2,0.6,10,0.004761904761904762,1,9,0.1
word_tfidf_1_2,0.7,5,0.002380952380952381,1,4,0.2
word_tfidf_1_2,0.75,5,0.002380952380952381,1,4,0.2
word_tfidf_1_2,0.8,5,0.002380952380952381,1,4,0.2
word_tfidf_1_2,0.85,3,0.0014285714285714286,1,2,0.3333333333333333
word_tfidf_1_2,0.9,3,0.0014285714285714286,1,2,0.3333333333333333
word_tfidf_1_2,0.95,1,0.0004761904761904762,0,1,0.0
word_tfidf_1_2,0.98,1,0.0004761904761904762,0,1,0.0
word_tfidf_1_2,0.99,1,0.0004761904761904762,0,1,0.0
