pattern_id,feature,condition,support_count,support_pct,true_count,false_count,true_rate,false_rate,base_true_rate,lift_TRUE,lift_FALSE,purity,direction,z_score,approx_p_value,confidence,log_odds_ratio_vs_rest,abs_log_odds_ratio
"rare_token_ratio__lte_p10__AND__token_entropy__quantile_(3.875,4.17]",rare_token_ratio + token_entropy,"(rare_token_ratio <= p10 (0)) AND (token_entropy in quantile bin (3.875, 4.17])",164,0.03346938775510204,0,164,0.0,1.0,0.2857142857142857,0.0,1.4,1.0,FALSE,-8.099382692526634,5.523876219533813e-16,0.9999999999999994,-4.927964713121874,4.927964713121874
"rare_token_ratio__eq_0__AND__token_entropy__quantile_(3.875,4.17]",rare_token_ratio + token_entropy,"(rare_token_ratio == 0) AND (token_entropy in quantile bin (3.875, 4.17])",164,0.03346938775510204,0,164,0.0,1.0,0.2857142857142857,0.0,1.4,1.0,FALSE,-8.099382692526634,5.523876219533813e-16,0.9999999999999994,-4.927964713121874,4.927964713121874
"rare_token_ratio__lte_p05__AND__token_entropy__quantile_(3.875,4.17]",rare_token_ratio + token_entropy,"(rare_token_ratio <= p05 (0)) AND (token_entropy in quantile bin (3.875, 4.17])",164,0.03346938775510204,0,164,0.0,1.0,0.2857142857142857,0.0,1.4,1.0,FALSE,-8.099382692526634,5.523876219533813e-16,0.9999999999999994,-4.927964713121874,4.927964713121874
"rare_token_ratio__lte_p10__AND__raw_token_count__quantile_(16.0,20.0]",rare_token_ratio + raw_token_count,"(rare_token_ratio <= p10 (0)) AND (raw_token_count in quantile bin (16.0, 20.0])",149,0.030408163265306123,0,149,0.0,1.0,0.2857142857142857,0.0,1.4,1.0,FALSE,-7.7201036262475125,1.1623516729466727e-14,0.9999999999999883,-4.827864882292837,4.827864882292837
"rare_token_ratio__eq_0__AND__raw_token_count__quantile_(16.0,20.0]",rare_token_ratio + raw_token_count,"(rare_token_ratio == 0) AND (raw_token_count in quantile bin (16.0, 20.0])",149,0.030408163265306123,0,149,0.0,1.0,0.2857142857142857,0.0,1.4,1.0,FALSE,-7.7201036262475125,1.1623516729466727e-14,0.9999999999999883,-4.827864882292837,4.827864882292837
"rare_token_ratio__lte_p05__AND__raw_token_count__quantile_(16.0,20.0]",rare_token_ratio + raw_token_count,"(rare_token_ratio <= p05 (0)) AND (raw_token_count in quantile bin (16.0, 20.0])",149,0.030408163265306123,0,149,0.0,1.0,0.2857142857142857,0.0,1.4,1.0,FALSE,-7.7201036262475125,1.1623516729466727e-14,0.9999999999999883,-4.827864882292837,4.827864882292837
"rare_token_ratio__lte_p10__AND__word_count__quantile_(16.0,20.0]",rare_token_ratio + word_count,"(rare_token_ratio <= p10 (0)) AND (word_count in quantile bin (16.0, 20.0])",148,0.030204081632653063,0,148,0.0,1.0,0.2857142857142857,0.0,1.4,1.0,FALSE,-7.694153624668537,1.4243383917839936e-14,0.9999999999999858,-4.820855118347029,4.820855118347029
"rare_token_ratio__eq_0__AND__word_count__quantile_(16.0,20.0]",rare_token_ratio + word_count,"(rare_token_ratio == 0) AND (word_count in quantile bin (16.0, 20.0])",148,0.030204081632653063,0,148,0.0,1.0,0.2857142857142857,0.0,1.4,1.0,FALSE,-7.694153624668537,1.4243383917839936e-14,0.9999999999999858,-4.820855118347029,4.820855118347029
"rare_token_ratio__lte_p05__AND__word_count__quantile_(16.0,20.0]",rare_token_ratio + word_count,"(rare_token_ratio <= p05 (0)) AND (word_count in quantile bin (16.0, 20.0])",148,0.030204081632653063,0,148,0.0,1.0,0.2857142857142857,0.0,1.4,1.0,FALSE,-7.694153624668537,1.4243383917839936e-14,0.9999999999999858,-4.820855118347029,4.820855118347029
"char_length__quantile_(15.999,96.0]__AND__char_entropy__quantile_(1.745,4.097]",char_length + char_entropy,"(char_length in quantile bin (15.999, 96.0]) AND (char_entropy in quantile bin (1.745, 4.097])",323,0.06591836734693877,1,322,0.0030959752321981426,0.9969040247678018,0.2857142857142857,0.0108359133126935,1.3956656346749226,0.9969040247678018,FALSE,-11.243450105667645,2.4943936427595864e-29,1.0,-4.550343670706708,4.550343670706708
"byte_length__quantile_(15.999,96.0]__AND__char_entropy__quantile_(1.745,4.097]",byte_length + char_entropy,"(byte_length in quantile bin (15.999, 96.0]) AND (char_entropy in quantile bin (1.745, 4.097])",321,0.06551020408163265,1,320,0.003115264797507788,0.9968847352024922,0.2857142857142857,0.010903426791277258,1.395638629283489,0.9968847352024922,FALSE,-11.207821590189049,3.7326699552482443e-29,1.0,-4.54349378108921,4.54349378108921
"token_entropy__quantile_(3.875,4.17]__AND__hapax_token_ratio__eq_0",token_entropy + hapax_token_ratio,"(token_entropy in quantile bin (3.875, 4.17]) AND (hapax_token_ratio == 0)",288,0.05877551020408163,1,287,0.003472222222222222,0.9965277777777778,0.2857142857142857,0.012152777777777778,1.395138888888889,0.9965277777777778,FALSE,-10.602688993311503,2.8953345771707646e-26,1.0,-4.424512096273408,4.424512096273408
"token_entropy__quantile_(3.875,4.17]__AND__hapax_token_ratio__lte_p10",token_entropy + hapax_token_ratio,"(token_entropy in quantile bin (3.875, 4.17]) AND (hapax_token_ratio <= p10 (0))",288,0.05877551020408163,1,287,0.003472222222222222,0.9965277777777778,0.2857142857142857,0.012152777777777778,1.395138888888889,0.9965277777777778,FALSE,-10.602688993311503,2.8953345771707646e-26,1.0,-4.424512096273408,4.424512096273408
"token_entropy__quantile_(3.875,4.17]__AND__hapax_token_ratio__lte_p05",token_entropy + hapax_token_ratio,"(token_entropy in quantile bin (3.875, 4.17]) AND (hapax_token_ratio <= p05 (0))",288,0.05877551020408163,1,287,0.003472222222222222,0.9965277777777778,0.2857142857142857,0.012152777777777778,1.395138888888889,0.9965277777777778,FALSE,-10.602688993311503,2.8953345771707646e-26,1.0,-4.424512096273408,4.424512096273408
"char_entropy__quantile_(1.745,4.097]__AND__compression_ratio__quantile_(0.918,1.5]",char_entropy + compression_ratio,"(char_entropy in quantile bin (1.745, 4.097]) AND (compression_ratio in quantile bin (0.918, 1.5])",211,0.04306122448979592,1,210,0.004739336492890996,0.995260663507109,0.2857142857142857,0.016587677725118485,1.3933649289099526,0.995260663507109,FALSE,-9.034557141820242,1.6466782393216648e-19,1.0,-4.089096046073606,4.089096046073606
"byte_length__quantile_(15.999,96.0]__AND__char_entropy__lte_p10",byte_length + char_entropy,"(byte_length in quantile bin (15.999, 96.0]) AND (char_entropy <= p10 (4.04045))",207,0.04224489795918367,1,206,0.004830917874396135,0.9951690821256038,0.2857142857142857,0.016908212560386472,1.3932367149758453,0.9951690821256038,FALSE,-8.945595089069508,3.6995100090638404e-19,1.0,-4.068695922894556,4.068695922894556
